ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2019-05-06,39,28731,533,Employed,High School,17,15366,48,Married,4,Mortgage,697,0.3426913364128368,4,2,0.33333754916324587,0,Home,0,28,15,4108,5448,85607,126773,2394.25,0.9218226813662488,8,5049,0.243866,0.23052328863546864,492.9435631487785,0.4970005484593416,0,56.0
2019-05-07,57,104229,583,Employed,High School,36,22818,108,Married,3,Mortgage,623,0.19632358483656542,5,0,0.19541956277026729,0,Debt Consolidation,0,22,16,1636,1943,119809,6195,8685.75,0.8572376880733769,5,113614,0.276318,0.28444113113773417,587.6735735980077,0.13938618698419916,0,44.0
2019-05-08,40,94053,559,Employed,Master,18,18210,24,Married,2,Mortgage,275,0.3044264218656657,1,2,0.4085290316336726,0,Debt Consolidation,0,18,26,532,419,76346,13449,7837.75,0.8119733463462052,3,62897,0.21370999999999998,0.21422735477144678,939.5181118419393,0.15495749568969913,1,42.400000000000006
2019-05-09,29,27007,432,Employed,High School,4,23952,48,Married,0,Rent,322,0.0102902588621496,8,1,0.23339042378383523,0,Home,0,19,22,3602,2580,58765,34899,2250.5833333333335,0.7768924075412607,10,23866,0.30295199999999994,0.33302592294206323,909.0249193084499,0.546980376632036,0,53.0
2019-05-10,58,93041,641,Employed,Bachelor,38,34169,48,Single,0,Mortgage,231,0.17397997878248003,4,1,0.039504087422357795,0,Debt Consolidation,0,25,8,421,495,52806,5057,7753.416666666667,0.8039570725516301,8,47749,0.20866900000000002,0.2083237769593477,1054.9886465567706,0.1658608974396368,1,36.800000000000004
2019-05-11,46,22955,552,Employed,Bachelor,22,33510,24,Single,3,Mortgage,193,0.30034990274108114,3,1,0.21118451807331548,0,Debt Consolidation,0,24,3,2539,13313,166624,16540,1912.9166666666667,0.9272948065786785,5,150084,0.23250999999999997,0.25408182595131,1795.3498140534678,1.0394335773749341,0,53.0
2019-05-12,27,51963,581,Employed,Master,5,41944,36,Married,0,Mortgage,538,0.158020927184205,4,2,0.08998098648310102,0,Education,0,28,2,1022,626,86064,64078,4330.25,0.860605582888977,7,21986,0.23644400000000002,0.24055604422120536,1646.8075909318425,0.5045453705748726,0,53.0
2019-05-13,37,70619,597,Employed,Doctorate,15,33492,12,Divorced,0,Own,490,0.2548596027075364,3,0,0.5135638490267382,0,Education,0,32,1,2239,377,185150,13490,5884.916666666667,0.7094387046669427,5,171660,0.199992,0.1839694955643104,3076.876964418739,0.6061049232221479,0,58.0
2019-05-14,29,117881,588,Unemployed,Doctorate,5,24816,84,Married,4,Rent,590,0.3097977407861052,4,1,0.3335013308051553,0,Auto,0,24,8,16425,1488,67233,59900,9823.416666666666,0.7032092220195885,8,7333,0.25581600000000004,0.26468458887466784,651.6192291976994,0.12639382725267342,0,57.0
2019-05-15,23,23220,579,Employed,High School,0,17734,60,Widowed,3,Rent,765,0.10333847586432712,7,2,0.16062068016895606,0,Debt Consolidation,0,21,23,5481,2670,114377,8239,1935.0,0.7422945967370056,7,106138,0.233234,0.23775794180817364,507.86586020187906,0.6578118140578186,0,47.0
2019-05-16,51,27613,593,Employed,Master,27,18144,72,Single,0,Mortgage,594,0.1594883994611012,3,0,0.231991582635546,0,Home,0,26,6,1662,1579,103925,85785,2301.0833333333335,0.9654082139480475,7,18140,0.236644,0.22959415573806555,466.27810705210726,0.4607734503540103,0,55.0
2019-05-17,62,39134,650,Employed,Bachelor,38,14201,48,Married,3,Other,621,0.6091477977524729,4,0,0.4255021124448886,0,Auto,0,30,28,776,1519,33476,194293,3261.1666666666665,0.808736289572882,10,10263,0.184201,0.17480855126697026,413.3118686063734,0.31716007623234227,0,53.0
2019-05-18,23,20447,576,Employed,Bachelor,1,22076,60,Married,0,Other,142,0.1492077378725178,6,1,0.4208071811222891,0,Debt Consolidation,0,17,11,447,2156,5264,3601,1703.9166666666667,0.9441816477487835,5,1663,0.239076,0.28446482722380767,693.312882452359,0.4902310651649781,0,57.0
2019-05-19,46,114734,631,Employed,High School,25,31216,60,Married,0,Rent,346,0.12324696407548764,6,0,0.12703351201878826,0,Home,0,23,3,762,1193,11594,93621,9561.166666666666,0.8848949369695277,7,7524,0.22071600000000002,0.2620730378995125,938.4565600030185,0.13434098628162727,0,48.0
2019-05-20,32,114983,498,Employed,Bachelor,12,15323,96,Divorced,2,Rent,653,0.4684318642404563,6,1,0.45603574601299546,0,Education,1,27,14,1184,1642,138452,18243,9581.916666666666,0.8830601989597934,7,120209,0.301323,0.2765603925981653,397.77991244963755,0.10966281058413549,1,46.400000000000006
2019-05-21,34,77544,609,Self-Employed,Doctorate,13,21620,24,Divorced,3,Own,224,0.368909358967846,3,0,0.315454538140427,0,Auto,0,29,22,869,2441,104492,14870,6462.0,0.8197986118787292,6,89622,0.19211999999999999,0.16535187157204595,1064.119386348276,0.19933757139403838,1,41.6
2019-05-22,32,96763,594,Employed,Master,4,15698,36,Married,0,Rent,422,0.4276296643115922,2,0,0.2949816378807493,0,Auto,0,25,5,4458,322,60069,8079,8063.583333333333,0.7596433055157202,6,51990,0.203698,0.20898346088716782,590.6041980215215,0.12557744567921889,1,41.6
2019-05-23,29,48522,582,Employed,Associate,4,24457,60,Married,1,Mortgage,523,0.4324755140159728,3,0,0.24611393757936675,0,Education,0,26,27,2679,856,76666,7158,4043.5,0.967474490945278,8,69508,0.23845700000000003,0.24749075363088488,714.2519535150808,0.30598539718439,0,52.0
2019-05-24,40,35156,588,Self-Employed,High School,20,16735,108,Divorced,0,Other,503,0.40866336436021555,4,1,0.2906944199613581,0,Home,0,21,21,14286,2248,30785,45116,2929.6666666666665,0.9459566237962208,1,6369,0.267735,0.28646862573914905,433.41656361038144,0.3196324599876146,0,57.0
2019-05-25,30,36828,615,Employed,Associate,10,15218,120,Married,5,Rent,485,0.5670542219628644,4,0,0.32265868654132585,1,Auto,0,21,29,1011,240,28967,14449,3069.0,0.8202852944235153,1,14518,0.262718,0.25393525333917455,350.4297663049768,0.2722156292945509,0,65.0
2019-05-26,43,37692,612,Employed,Master,20,15678,60,Divorced,2,Rent,544,0.3695591822733146,3,0,0.033088263540491325,0,Auto,0,23,20,2057,1555,45043,3071,3141.0,0.9902981220251905,6,41972,0.21467799999999998,0.25761359999999994,467.1942668573037,0.3219338640106029,0,48.0
2019-05-27,39,19270,606,Unemployed,Bachelor,15,28329,36,Divorced,1,Rent,441,0.44896460295921503,1,0,0.2557915234880464,0,Education,0,26,29,510,675,133718,52090,1605.8333333333333,0.9399207438544869,1,81628,0.210329,0.24530214778071593,1119.3293408093964,0.9716633155014405,0,53.0
2019-05-28,37,55225,597,Employed,Associate,13,20986,24,Married,0,Rent,194,0.4643097431333809,3,0,0.04382535271131628,0,Home,0,21,13,3103,853,169330,26684,4602.083333333333,0.826504551122848,3,142646,0.197486,0.2294374850347389,1098.520205087556,0.28085545425170977,0,47.0
2019-05-29,29,35952,486,Employed,High School,7,17779,96,Married,2,Mortgage,519,0.04061692401421488,6,0,0.15099867224175162,0,Home,0,16,21,437,1130,83079,12967,2996.0,0.7882810954481227,6,70112,0.30977899999999997,0.2715415262926465,455.46587207385545,0.3252556315333296,0,48.0
2019-05-30,33,62063,613,Employed,Associate,11,25101,48,Married,2,Mortgage,465,0.2774625205363693,5,0,0.2539661334391332,0,Education,1,25,5,942,227,66093,69312,5171.916666666667,0.8044683563508138,10,3900,0.213601,0.17088080000000003,725.43476311729,0.2301728430370346,0,57.0
2019-05-31,49,57743,497,Employed,Associate,26,17903,36,Single,3,Mortgage,195,0.2281104158867686,2,0,0.2982460100200142,0,Home,0,34,5,2729,622,56737,40861,4811.916666666667,0.6261815637280984,3,15876,0.254403,0.2283362399196656,691.4686315006466,0.1842236042119003,1,43.2
2019-06-01,46,52122,558,Employed,Master,23,38687,96,Married,0,Mortgage,804,0.08983733450941564,4,1,0.3303112481458399,0,Auto,0,22,10,142,4078,40446,36236,4343.5,0.8679103754940999,4,4210,0.294687,0.31017652929951733,1094.4370890619018,0.43707542052766246,0,53.0
2019-06-02,28,27030,589,Unemployed,Bachelor,10,13535,24,Single,5,Rent,526,0.3767891825923669,0,1,0.6350148833927062,0,Debt Consolidation,0,13,13,1455,154,8281,3373,2252.5,0.8006222083101082,1,4908,0.19403499999999999,0.2081848841035808,694.2986735397144,0.5417530182196291,0,63.0
2019-06-03,41,49848,606,Employed,Associate,19,20060,60,Married,1,Rent,202,0.25235253027797294,7,2,0.11327292166164657,0,Home,1,28,10,1755,5500,143076,27051,4154.0,0.706671202339021,8,116025,0.22205999999999998,0.21253566858090822,545.5556275374203,0.17996043031714498,0,50.0
2019-06-04,49,109769,617,Employed,Bachelor,28,10911,60,Divorced,0,Own,268,0.2632658718517118,4,0,0.12589785276097856,0,Auto,0,17,8,6819,617,119893,44054,9147.416666666666,0.7209906083056548,3,75839,0.207411,0.2139350777237471,297.59957343070954,0.06183161804488076,1,36.0
2019-06-05,19,20397,520,Self-Employed,High School,0,18519,24,Single,1,Mortgage,304,0.27871360576576726,2,0,0.19801470180671818,0,Debt Consolidation,0,22,2,5034,612,80403,11274,1699.75,0.7869101510716954,3,69129,0.233519,0.2648309835346605,1002.2209719378109,0.7684782891235834,0,57.0
2019-06-06,46,70576,581,Employed,Doctorate,18,9510,36,Single,1,Mortgage,304,0.30763772117551924,0,1,0.5676086135286972,0,Home,0,32,2,2786,1207,111386,12932,5881.333333333333,0.7522134720881669,5,98454,0.20401,0.23139718271601625,368.82234379571787,0.11439962771407582,1,48.0
2019-06-07,32,52257,590,Employed,Associate,9,31989,24,Married,4,Mortgage,467,0.26290164138125655,2,0,0.46752627557103527,0,Auto,0,28,22,1328,4632,348920,2671,4354.75,0.7413650243148492,6,346249,0.21198899999999998,0.18247651721963307,1600.8525210174143,0.4748498813978792,1,40.0
2019-06-08,46,32731,633,Employed,Associate,24,32313,60,Married,2,Own,247,0.1612144412304038,1,3,0.15626429933779726,0,Education,0,20,19,2210,286,35902,2520,2727.5833333333335,0.7930885493732183,4,33382,0.22081300000000004,0.21520759156021868,883.667567399331,0.4145308975830855,0,47.0
2019-06-09,30,22628,533,Unemployed,Associate,6,32600,48,Married,2,Mortgage,709,0.08962760497358548,3,0,0.14282716542969162,0,Auto,1,25,10,5769,644,81765,50269,1885.6666666666667,0.8545298454626458,3,31496,0.2611,0.22862901899204405,1042.4307763802915,0.928812502941643,0,60.0
2019-06-10,18,46647,528,Unemployed,Bachelor,0,22346,12,Married,0,Own,680,0.3614129666111139,5,1,0.15268650823498991,0,Home,0,15,15,3936,2288,17308,15372,3887.25,0.7475021696166686,8,1936,0.22334600000000002,0.17867680000000002,2047.2741928782339,0.701594750242005,0,54.0
2019-06-11,20,21015,591,Employed,Bachelor,0,14186,120,Single,0,Own,549,0.18369046104455178,2,0,0.19584676969601472,0,Home,0,21,27,11631,2377,340884,9319,1751.25,0.873783702565254,4,331565,0.273686,0.28049157986002665,353.69252563110945,0.5154561174196199,0,45.0
2019-06-12,40,50669,579,Self-Employed,Bachelor,16,14762,36,Single,1,Rent,412,0.0892164115203508,4,1,0.17070377104370762,0,Home,0,19,16,2839,6678,64793,13118,4222.416666666667,0.851898995140099,3,51675,0.210262,0.1714870726534588,527.3987364811873,0.22247892868961783,1,40.0
2019-06-13,43,21768,539,Employed,High School,16,47338,36,Divorced,2,Rent,644,0.02315711709904271,3,0,0.23824162499711557,0,Other,1,28,10,3571,370,8001,60790,1814.0,0.5589709616019287,5,4536,0.262838,0.23115933086197746,1835.302411088396,1.3667598738083773,0,59.0
2019-06-14,29,66068,582,Employed,Associate,9,45154,36,Single,3,Mortgage,351,0.24480402765731968,3,1,0.146704717298766,0,Home,1,29,10,918,337,41262,119495,5505.666666666667,0.7685680925159103,7,6173,0.239154,0.19470096669275425,1665.917742906654,0.3663348809541661,0,56.0
2019-06-15,47,182401,628,Unemployed,High School,24,23418,36,Married,0,Mortgage,280,0.5018896517996472,7,1,0.46239651354798955,0,Education,0,28,26,2230,2519,219178,52206,15200.083333333334,0.6590342389483993,3,166972,0.194418,0.21425956706654867,887.4045833132903,0.07680251204631271,1,40.800000000000004
2019-06-16,20,28129,596,Employed,Bachelor,0,17020,120,Widowed,0,Own,731,0.222440054583638,4,1,0.28608302626448734,0,Auto,0,31,20,3387,567,123790,20125,2344.0833333333335,0.8279260739171627,5,103665,0.27402000000000004,0.2894959405196653,435.52922193830705,0.4976483580383122,0,50.0
2019-06-17,39,63911,604,Employed,High School,15,43665,36,Divorced,1,Rent,472,0.3733882179286282,3,2,0.43180651404075765,0,Education,0,28,27,2642,1710,313066,126318,5325.916666666667,0.8579338547621094,3,186748,0.226665,0.271998,1787.3167672432419,0.4242118134111327,0,49.0
2019-06-18,25,30520,520,Employed,Bachelor,4,15564,48,Single,4,Rent,286,0.06706865424958303,2,1,0.2105368290607946,0,Auto,0,31,19,16806,2234,53643,9638,2543.3333333333335,0.8878830311907847,5,44005,0.250564,0.28028132858626675,542.6893820710909,0.3258280663451209,0,52.0
2019-06-19,32,87635,569,Employed,Master,10,24696,84,Married,1,Own,327,0.17663285512973545,3,1,0.029263577992500723,0,Debt Consolidation,0,23,4,787,213,137177,6438,7302.916666666667,0.9303592749649133,4,130739,0.265196,0.24898360113284,623.4921729392975,0.13015240571999281,1,37.6
2019-06-20,40,21036,538,Employed,Master,18,43303,60,Married,1,Rent,279,0.24240097238015468,2,3,0.26588654509322457,0,Debt Consolidation,0,26,29,2028,6884,87015,45551,1753.0,0.878132465329802,3,41464,0.279303,0.30375637536411054,1411.00687875142,0.96406553265911,0,54.0
2019-06-21,29,46131,517,Employed,Associate,5,14498,48,Married,1,Mortgage,1108,0.19437978103104214,1,0,0.3472749240046307,0,Home,0,25,2,14361,1564,84942,46857,3844.25,0.7993166943673979,4,38085,0.250998,0.25075587359921125,481.32345839966473,0.41342874641338745,0,58.0
2019-06-22,35,22929,524,Self-Employed,Associate,11,33343,84,Married,0,Rent,404,0.2518133994037194,4,0,0.6137570008763946,0,Home,0,18,9,5956,612,22552,29099,1910.75,0.6303695604234199,6,10039,0.296343,0.3005535881495235,954.6172720404143,0.7110387397830246,0,64.0
2019-06-23,52,38574,504,Self-Employed,High School,32,28574,60,Married,1,Mortgage,436,0.39587439904071986,2,1,0.08805712719880973,0,Other,0,29,11,3532,1220,4752,31473,3214.5,0.7709402533248975,5,2974,0.281574,0.2611275945871503,857.427470947659,0.4023728327726424,0,54.0
2019-06-24,33,25410,532,Employed,Bachelor,10,21595,36,Single,3,Rent,578,0.2812460205087458,3,0,0.08125551027123303,1,Debt Consolidation,0,32,3,821,1343,56616,6426,2117.5,0.7688020743736119,3,50190,0.240595,0.25703398937586225,866.6675769232212,0.6822515121243075,0,65.0
2019-06-25,50,89633,662,Employed,Master,29,13403,60,Married,4,Rent,219,0.10532095965070351,1,2,0.10732146592628138,0,Auto,0,16,7,3539,1414,7363,24119,7469.416666666667,0.960870630100269,6,5838,0.187403,0.17940979199160603,339.91792145682723,0.07482751952385758,1,34.4
2019-06-26,26,24086,513,Employed,High School,6,15333,96,Married,1,Rent,698,0.13270857095613467,1,1,0.6065750293642729,0,Debt Consolidation,0,20,25,2348,2636,109075,5590,2007.1666666666667,0.7451583978744687,4,103485,0.293833,0.27950991890339116,401.1287510176497,0.5476021345267705,0,55.0
2019-06-27,46,67379,497,Employed,Associate,24,25456,48,Married,0,Mortgage,297,0.1326742659007589,2,0,0.2534170556771528,0,Debt Consolidation,0,35,25,8765,622,39348,26945,5614.916666666667,0.8167270253237076,2,12403,0.271956,0.26835832807597765,870.321283013326,0.2078964572961889,0,51.0
2019-06-28,57,51899,638,Employed,Master,35,10811,60,Single,2,Mortgage,1007,0.45754910984386543,1,3,0.3337841938716734,0,Auto,0,18,6,3277,1295,25924,76286,4324.916666666667,0.83983177749454,6,5947,0.196811,0.2096767236591306,292.27730785415537,0.30041672660840985,0,54.0
2019-06-29,18,49102,613,Employed,Master,0,23514,108,Single,3,Own,345,0.3052576652286993,3,1,0.12078789282819119,0,Debt Consolidation,0,32,1,14222,808,25243,32257,4091.8333333333335,0.8334519365983539,4,1509,0.26201399999999997,0.23065667037897988,518.2792490631716,0.21097615145529833,0,52.0
2019-06-30,30,37448,475,Employed,High School,7,28869,60,Widowed,0,Other,677,0.20048765401797547,0,2,0.03552239881760126,0,Debt Consolidation,0,23,12,21477,1556,64720,10859,3120.6666666666665,0.7063798396654861,4,53861,0.296369,0.3069793147649524,946.4239972618684,0.5202170467619746,0,49.0
2019-07-01,46,36219,595,Employed,Bachelor,26,36048,24,Single,3,Own,115,0.1338300080120429,4,0,0.07641285425443442,0,Debt Consolidation,0,27,26,4069,1288,155998,23206,3018.25,0.8978681870544396,8,132792,0.213548,0.18438215582571454,1807.3059509134087,0.6368942105237833,0,46.0
2019-07-02,37,47726,576,Employed,High School,16,10947,36,Single,3,Other,224,0.26400049696232564,6,0,0.1021017126885161,0,Auto,1,25,18,4437,144,44547,17283,3977.1666666666665,0.6954535894796443,3,27264,0.20794700000000002,0.19711349564333946,405.221504581532,0.15820848290194828,0,57.0
2019-07-03,44,104635,594,Employed,High School,19,42536,60,Married,1,Own,348,0.19589241853140785,5,2,0.7106072275176286,0,Debt Consolidation,0,25,9,2576,566,28091,14958,8719.583333333334,0.33868871786220706,1,13133,0.250536,0.23632477186987605,1214.617097831231,0.1792077715293618,0,57.0
2019-07-04,32,33830,609,Employed,Master,5,51414,36,Married,2,Mortgage,146,0.2385472889659712,2,2,0.16256360830529293,0,Auto,1,27,5,600,180,28479,15797,2819.1666666666665,0.8406231457908586,6,12682,0.23191399999999998,0.25063148443176875,2045.9292270733047,0.7775096282849442,0,56.0
2019-07-05,41,126570,567,Employed,Master,22,27040,108,Single,2,Mortgage,544,0.34669349900096685,4,2,0.27855505429010946,1,Debt Consolidation,0,23,26,622,6491,302599,6599,10547.5,0.6554444499765424,5,296000,0.28854,0.29958066085849433,725.6552603106313,0.12037499505196789,1,44.800000000000004
2019-07-06,38,115347,509,Employed,Bachelor,19,13107,48,Married,2,Mortgage,471,0.4048404752387677,0,0,0.6526769028270752,0,Auto,0,21,13,7472,2763,57140,28925,9612.25,0.6448510029489187,5,28215,0.253607,0.27743357767650617,454.8843573921132,0.09632337458889575,1,46.400000000000006
2019-07-07,54,27967,538,Employed,High School,28,18693,48,Married,0,Own,245,0.3255007936865127,1,0,0.19796300297609182,0,Auto,0,29,18,12077,311,12388,19035,2330.5833333333335,0.8142622346346269,7,9689,0.24469300000000002,0.26762360048341444,638.3214611333211,0.3790130344191316,0,52.0
2019-07-08,43,24328,582,Employed,Master,20,21508,60,Married,0,Rent,400,0.4245529597034169,2,1,0.2010739355806001,0,Debt Consolidation,0,33,15,1714,2539,40437,77879,2027.3333333333333,0.8485887858525619,3,5942,0.235508,0.28260959999999996,673.059366454848,0.5292959716153476,0,55.0
2019-07-09,44,57286,587,Employed,Associate,23,25215,48,Divorced,0,Mortgage,603,0.06966881384341751,5,0,0.3471600190593655,0,Home,0,24,15,2210,697,14269,34787,4773.833333333333,0.8331749742092007,7,3411,0.22671500000000003,0.18969768925317868,753.5292960764692,0.2841593330467764,0,53.0
2019-07-10,35,33795,605,Employed,Associate,11,22269,48,Single,3,Mortgage,140,0.30915219809074174,2,2,0.3152471700256319,0,Other,0,20,6,2246,1307,32293,110876,2816.25,0.6943891190341166,3,1767,0.21476900000000002,0.20151792135304936,679.4560279585942,0.29097417770389494,0,54.0
2019-07-11,34,159473,620,Employed,Bachelor,16,25351,24,Married,1,Mortgage,213,0.44186204150647923,3,3,0.15870798200576902,0,Education,1,23,7,1334,144,18445,95482,13289.416666666666,0.6609993324817448,4,9880,0.19035100000000002,0.1632113322949803,1245.157198898493,0.1097231906766783,1,42.400000000000006
2019-07-12,34,48703,572,Employed,High School,11,21049,60,Single,1,Rent,341,0.2092912350587411,5,1,0.5350157624376776,0,Education,0,28,13,27781,1656,403066,5632,4058.5833333333335,0.8707742967587816,1,397434,0.240049,0.2517353568843423,619.9593173343047,0.2367721045523203,1,42.400000000000006
2019-07-13,44,27598,527,Employed,Bachelor,21,25148,84,Married,3,Own,408,0.0407486883106785,2,0,0.054317916355276934,0,Auto,0,24,12,2056,1663,82340,11947,2299.8333333333335,0.740997808432759,1,70393,0.286648,0.296138339472757,712.5374333627361,0.48722549461384274,0,49.0
2019-07-14,34,23789,597,Self-Employed,Bachelor,10,17496,60,Married,1,Mortgage,391,0.20133214963212298,1,0,0.07293969522733511,0,Education,0,23,26,9194,182,174006,5887,1982.4166666666667,0.9468988837613486,7,168119,0.22399600000000003,0.2080516401801785,471.41003704239154,0.43502965423131273,0,51.0
2019-07-15,43,78097,518,Employed,High School,23,18599,48,Single,2,Rent,629,0.3932615098962863,1,0,0.4769556180736604,0,Debt Consolidation,0,24,10,312,3970,397041,8306,6508.083333333333,0.9057695369782133,2,388735,0.254599,0.2639568072226597,631.2556082482444,0.19364466367439123,1,40.0
2019-07-16,64,38543,607,Employed,High School,41,16514,24,Married,1,Own,512,0.46529688919354295,3,3,0.49575249118510406,1,Debt Consolidation,0,25,27,10026,3488,80166,10869,3211.9166666666665,0.9187805237193784,8,69297,0.188014,0.21044561048360422,848.9441315673683,0.42371713615464346,0,65.0
2019-07-17,50,40317,610,Unemployed,High School,29,57447,72,Single,1,Mortgage,571,0.155083818693593,3,0,0.49496562120258075,0,Debt Consolidation,0,34,26,24022,1328,767840,126014,3359.75,0.8276968957772481,1,641826,0.267447,0.2245886568180388,1459.1088800199482,0.604244030067698,0,48.0
2019-07-18,36,75338,614,Employed,High School,13,45795,96,Single,1,Rent,201,0.18070673480096405,5,0,0.2950294777858595,0,Auto,0,31,27,4138,739,12945,100511,6278.166666666667,0.6164325427761537,5,10452,0.273795,0.27280096798531034,1177.1018773220012,0.21950705524256037,0,48.0
2019-07-19,54,40614,650,Employed,Bachelor,33,29075,48,Married,4,Own,433,0.400268246155478,1,3,0.3286679784913961,0,Education,0,23,22,6163,817,245266,29174,3384.5,0.8094769847064114,6,216092,0.199075,0.20278228055187825,889.0785397477914,0.3906274308606268,0,46.0
2019-07-20,35,48087,519,Employed,Master,13,42729,60,Married,3,Own,345,0.1679725978246332,2,2,0.38172797687193827,0,Debt Consolidation,0,30,1,8009,5689,72947,13040,4007.25,0.7875198555845809,9,59907,0.288229,0.25712421005930186,1272.0617608441887,0.4035340347730211,0,56.0
2019-07-21,18,30755,513,Employed,High School,0,32834,48,Single,0,Mortgage,838,0.3380861687527339,3,2,0.2057722120091402,1,Debt Consolidation,0,27,11,5225,6796,143074,4435,2562.9166666666665,0.771551727414107,6,138639,0.271334,0.24500805596431344,1079.5594545453582,0.7481942271027248,0,61.0
2019-07-22,27,53740,594,Employed,High School,3,24116,48,Divorced,4,Own,440,0.15885624088034114,0,1,0.4009405258597295,0,Debt Consolidation,0,32,16,2536,631,51891,11255,4478.333333333333,0.9310558960651223,8,40636,0.222116,0.21657845973538525,755.3280169692065,0.26691358771176926,0,55.0
2019-07-23,18,68853,567,Employed,Bachelor,0,10375,72,Single,3,Mortgage,288,0.12900998120981136,5,1,0.41444628666056615,0,Debt Consolidation,0,21,1,1347,192,115233,22681,5737.75,0.7899625719385452,7,92552,0.24187499999999998,0.2483552282216921,278.42701404141803,0.09871936108081009,0,57.0
2019-07-24,35,46629,637,Employed,Master,13,19320,24,Single,0,Rent,617,0.15391084143532172,2,0,0.33243435477648803,0,Debt Consolidation,0,13,18,6412,954,91566,9657,3885.75,0.8104335898653232,4,81909,0.17582,0.1930621094835148,976.7711978806359,0.41015793550296237,0,49.0
2019-07-25,40,51605,490,Unemployed,Associate,17,18629,48,Single,0,Own,534,0.09405935081054266,5,1,0.21332046355554335,0,Debt Consolidation,0,25,11,891,3946,54373,62287,4300.416666666667,0.3999835970127687,3,7080,0.268629,0.2795727696409778,648.8053095594607,0.27504435063876614,0,54.0
2019-07-26,60,52192,671,Employed,Associate,40,12499,36,Single,1,Mortgage,267,0.36310576432225117,2,1,0.23995862540390753,0,Debt Consolidation,0,24,9,5908,569,69132,133239,4349.333333333333,0.8563756624672197,5,9037,0.161999,0.17336260867639705,447.71797639516245,0.1643281674728301,0,47.0
2019-07-27,43,22301,554,Employed,Bachelor,21,10476,36,Single,2,Mortgage,338,0.029903649833201647,5,0,0.5001902033222219,0,Debt Consolidation,0,29,14,1080,388,347120,9813,1858.4166666666667,0.6731964676462159,4,337307,0.21847599999999998,0.2399507760364473,410.97628874649536,0.4030184953570667,1,42.400000000000006
2019-07-28,37,46019,577,Employed,High School,15,28179,60,Married,2,Rent,341,0.15534668926292824,4,3,0.20354179114645266,0,Auto,0,26,11,980,7290,28891,18964,3834.9166666666665,0.8486152057103776,6,9927,0.24467900000000004,0.28322543705857295,882.8676504454893,0.3191380039841342,0,52.0
2019-07-29,49,143143,608,Employed,High School,21,25906,12,Married,0,Rent,745,0.31743791186961134,3,1,0.4399349309897958,0,Debt Consolidation,0,17,1,381,255,279770,15667,11928.583333333334,0.7031528164713307,2,264103,0.18690600000000002,0.18876557106061262,2385.882355241528,0.2624689175362982,1,39.2
2019-07-30,18,24248,559,Employed,Bachelor,0,12287,60,Married,1,Own,446,0.3788870422794579,2,1,0.006751149317058708,0,Other,1,23,11,1790,4475,28336,15094,2020.6666666666667,0.8252882729484096,7,13242,0.23778699999999997,0.19393394619643223,321.3971035575913,0.3797742181908238,0,58.0
2019-07-31,42,30447,591,Employed,Bachelor,17,15169,36,Widowed,0,Mortgage,580,0.43787906905360247,2,1,0.4838916722469988,0,Home,0,19,9,8669,1137,116616,10028,2537.25,0.8440239964712052,5,106588,0.204669,0.23578624472762233,591.7722450100998,0.4618276657838604,0,55.0
2019-08-01,49,27396,576,Employed,Bachelor,25,39364,60,Married,0,Rent,315,0.1244135690336921,4,0,0.23917152744451378,0,Home,0,23,22,5737,1026,56692,11217,2283.0,0.855472334131546,4,45475,0.25636400000000004,0.30763680000000004,1292.0856594916472,0.7039358999087373,0,53.0
2019-08-02,22,73545,553,Employed,Bachelor,0,14202,24,Single,1,Mortgage,476,0.47430100480394044,3,2,0.3482094010796136,0,Home,0,20,29,1891,1702,112306,6466,6128.75,0.8651487956302006,4,105840,0.21270199999999997,0.2108596549738213,730.3788237375528,0.19683929410361867,1,40.800000000000004
2019-08-03,53,69637,542,Employed,Bachelor,27,23990,60,Single,1,Mortgage,774,0.38843991219338625,5,0,0.1579328991626154,0,Home,0,19,2,1261,999,81138,36016,5803.083333333333,0.7449977403355913,3,45122,0.25799,0.30735703748712145,787.0338655951101,0.26900076664907047,0,54.0
2019-08-04,44,40682,520,Employed,High School,21,20032,60,Single,1,Mortgage,336,0.40061013661810607,1,3,0.5532139857020066,0,Other,0,28,10,15664,1019,100830,37493,3390.1666666666665,0.8441067849399448,5,63337,0.265032,0.2827483891855572,627.0383846948583,0.2840681533931051,0,58.0
2019-08-05,35,23120,543,Unemployed,Associate,12,28372,108,Married,4,Mortgage,427,0.6846062833712997,3,0,0.21566487650030622,0,Home,0,24,3,336,457,113183,83219,1926.6666666666667,0.8099517441499174,5,29964,0.30187200000000003,0.3214499575979886,806.4305890995445,0.6401888870758881,0,62.0
